weight,source,target,hierachy_source,hierachy_target
0.0,F2,DP,0.9095,0.5842
1e-05,F2,MT,0.9095,0.6062
0.00024,F2,8m,0.9095,0.6532
0.01876,F2,5,0.9095,0.6981
2e-05,F2,8l,0.9095,0.7029
0.0,F2,TEO,0.9095,0.7038
0.0,F2,2,0.9095,0.7059
0.16276,F2,F1,0.9095,0.723
0.00038,F2,STPc,0.9095,0.7522
0.00834,F2,7A,0.9095,0.7709
0.0,F2,46d,0.9095,0.806
0.0,F2,10,0.9095,0.8206
0.00025,F2,9/46v,0.9095,0.8275
0.00017,F2,9/46d,0.9095,0.8334
0.04154,F2,F5,0.9095,0.8379
0.0,F2,TEpd,0.9095,0.8424
6e-05,F2,PBr,0.9095,0.851
0.00747,F2,7m,0.9095,0.8568
5e-05,F2,7B,0.9095,0.8981
0.0,F2,F2,0.9095,0.9095
0.00045,F2,STPi,0.9095,0.9132
8e-05,F2,PROm,0.9095,0.9172
0.02451,F2,F7,0.9095,0.9388
0.00014,F2,8B,0.9095,0.9537
4e-05,F2,STPr,0.9095,0.9973
0.03124,F2,24c,0.9095,1.0
